value;dimension;domain;variable;depth;datetime;location;experiment;fertilizer_tr;variety_tr;plantdensity_tr;plantingdate_tr;soilmanagement_tr;plantprotection_tr;repetition;
7103;kg/ha;maize;grainyield;0;2011-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
4674;kg/ha;maize;grainyield;0;2011-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
8294;kg/ha;maize;grainyield;0;2011-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
6542;kg/ha;maize;grainyield;0;2011-11-07 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
4461;kg/ha;maize;grainyield;0;2012-11-09 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
4342;kg/ha;maize;grainyield;0;2012-11-09 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
7675;kg/ha;maize;grainyield;0;2012-11-09 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
5670;kg/ha;maize;grainyield;0;2012-11-09 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
8119;kg/ha;maize;grainyield;0;2013-11-22 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
2334;kg/ha;maize;grainyield;0;2013-11-22 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
7164;kg/ha;maize;grainyield;0;2013-11-22 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
4229;kg/ha;maize;grainyield;0;2013-11-22 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
9136;kg/ha;maize;grainyield;0;2014-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
5134;kg/ha;maize;grainyield;0;2014-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
8944;kg/ha;maize;grainyield;0;2014-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
9947;kg/ha;maize;grainyield;0;2014-11-12 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
6152;kg/ha;maize;grainyield;0;2015-11-09 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
4253;kg/ha;maize;grainyield;0;2015-11-09 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
5377;kg/ha;maize;grainyield;0;2015-11-09 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
4877;kg/ha;maize;grainyield;0;2015-11-09 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
7311;kg/ha;maize;grainyield;0;2016-11-10 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
6512;kg/ha;maize;grainyield;0;2016-11-10 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
6162;kg/ha;maize;grainyield;0;2016-11-10 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
8115;kg/ha;maize;grainyield;0;2016-11-10 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
3851;kg/ha;maize;grainyield;0;2017-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;1;
3392;kg/ha;maize;grainyield;0;2017-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;2;
4726;kg/ha;maize;grainyield;0;2017-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;3;
7311;kg/ha;maize;grainyield;0;2017-11-08 12:00;MV;planting_date;1;2;NA;1;NA;NA;4;
9122;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;3;NA;1;NA;NA;1;
8775;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;3;NA;1;NA;NA;2;
8747;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;3;NA;1;NA;NA;3;
11423;kg/ha;maize;grainyield;0;1991-10-24 12:00;MV;planting_date;1;3;NA;1;NA;NA;4;
8962;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;3;NA;1;NA;NA;1;
6771;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;3;NA;1;NA;NA;2;
10397;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;3;NA;1;NA;NA;3;
7290;kg/ha;maize;grainyield;0;1992-11-05 12:00;MV;planting_date;1;3;NA;1;NA;NA;4;
5400;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;3;NA;1;NA;NA;1;
5153;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;3;NA;1;NA;NA;2;
8960;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;3;NA;1;NA;NA;3;
6932;kg/ha;maize;grainyield;0;1993-11-05 12:00;MV;planting_date;1;3;NA;1;NA;NA;4;
5160;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;3;NA;1;NA;NA;1;
4450;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;3;NA;1;NA;NA;2;
6970;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;3;NA;1;NA;NA;3;
3880;kg/ha;maize;grainyield;0;1994-11-07 12:00;MV;planting_date;1;3;NA;1;NA;NA;4;
9250;kg/ha;maize;grainyield;0;1995-11-12 12:00;MV;planting_date;1;3;NA;1;NA;NA;1;
8470;kg/ha;maize;grainyield;0;1995-11-12 12:00;MV;planting_date;1;3;NA;1;NA;NA;2;
8910;kg/ha;maize;grainyield;0;1995-11-12 12:00;MV;planting_date;1;3;NA;1;NA;NA;3;
9950;kg/ha;maize;grainyield;0;1995-11-12 12:00;MV;planting_date;1;3;NA;1;NA;NA;4;
6210;kg/ha;maize;grainyield;0;1996-11-04 12:00;MV;planting_date;1;3;NA;1;NA;NA;1;
6820;kg/ha;maize;grainyield;0;1996-11-04 12:00;MV;planting_date;1;3;NA;1;NA;NA;2;
6660;kg/ha;maize;grainyield;0;1996-11-04 12:00;MV;planting_date;1;3;NA;1;NA;NA;3;
6670;kg/ha;maize;grainyield;0;1996-11-04 12:00;MV;planting_date;1;3;NA;1;NA;NA;4;
9870;kg/ha;maize;grainyield;0;1997-11-08 12:00;MV;planting_date;1;3;NA;1;NA;NA;1;
4430;kg/ha;maize;grainyield;0;1997-11-08 12:00;MV;planting_date;1;3;NA;1;NA;NA;2;
6780;kg/ha;maize;grainyield;0;1997-11-08 12:00;MV;planting_date;1;3;NA;1;NA;NA;3;
4670;kg/ha;maize;grainyield;0;1997-11-08 12:00;MV;planting_date;1;3;NA;1;NA;NA;4;
