value,dimension,domain,parameter,depth,datetime,experiment,treatment,repetition,equipment,person/logger
8725,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V04,4,,
9384,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V05,4,,
6223,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V01,1,,
7502,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V02,1,,
9342,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V03,1,,
10116,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V04,1,,
8966,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V05,1,,
6359,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V01,1,,
7521,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V02,1,,
9220,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V03,1,,
9420,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V04,1,,
9786,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V05,1,,
7828,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V01,1,,
7363,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V02,1,,
8596,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V03,1,,
9932,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V04,1,,
10155,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V05,1,,
7335,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F04|V01,1,,
7614,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F04|V02,1,,
8047,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F04|V03,1,,
9271,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F04|V04,1,,
9227,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F04|V05,1,,
7960,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F05|V01,1,,
7613,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F05|V02,1,,
7813,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F05|V03,1,,
9344,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F05|V04,1,,
9161,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F05|V05,1,,
5695,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V01,2,,
